,Video,Shape_type,Name,Color name,Color BGR,Thickness,Center_X,Center_Y,vertices,center,area,max_vertice_distance,area_cm,Tags,Ear_tag_size
0,R4G66S1,polygon,NO_OBJ_1,Red,"(0, 0, 255)",2,304,92,"[[228  12]
 [387  23]
 [299 240]
 [297 239]]","(304, 92)",17928.0,238,35379.09,"{'Tag_0': (228, 12), 'Tag_1': (387, 23), 'Tag_2': (299, 240), 'Tag_3': (297, 239), 'Center_tag': (304, 92)}",5
1,R4G66S1,polygon,NO_OBJ_2,Red,"(0, 0, 255)",2,389,132,"[[384  33]
 [490 142]
 [297 244]
 [297 240]]",[389 140],16098.5,230,29708.53,"{'Tag_0': (384, 33), 'Tag_1': (490, 142), 'Tag_2': (297, 244), 'Tag_3': (297, 240), 'Center_tag': (389, 140)}",5
2,R4G66S1,polygon,OBJ_1,Red,"(0, 0, 255)",2,423,228,"[[488 140]
 [490 320]
 [299 247]
 [298 244]]",[424 235],17454.0,224,37818.21,"{'Tag_0': (488, 140), 'Tag_1': (490, 320), 'Tag_2': (299, 247), 'Tag_3': (298, 244), 'Center_tag': (424, 235)}",5
3,R4G66S1,polygon,NO_OBJ_3,Red,"(0, 0, 255)",2,391,329,"[[486 319]
 [390 426]
 [300 248]
 [300 245]]","(391, 329)",13638.0,202,26913.21,"{'Tag_0': (486, 319), 'Tag_1': (390, 426), 'Tag_2': (300, 248), 'Tag_3': (300, 245), 'Center_tag': (391, 329)}",5
4,R4G66S1,polygon,NO_OBJ_4,Red,"(0, 0, 255)",2,300,373,"[[396 445]
 [216 443]
 [299 245]
 [300 245]]",[303 377],18003.0,216,32539.37,"{'Tag_0': (396, 445), 'Tag_1': (216, 443), 'Tag_2': (299, 245), 'Tag_3': (300, 245), 'Center_tag': (303, 377)}",5
5,R4G66S1,polygon,OBJ_2,Red,"(0, 0, 255)",2,196,324,"[[218 441]
 [ 91 293]
 [298 244]]",[202 326],18429.5,215,34224.65,"{'Tag_0': (218, 441), 'Tag_1': (91, 293), 'Tag_2': (298, 244), 'Center_tag': (202, 326)}",5
6,R4G66S1,polygon,OBJ_3,Red,"(0, 0, 255)",2,158,220,"[[ 90 294]
 [ 84 123]
 [298 244]
 [298 246]]","(158, 220)",18142.0,246,35801.4,"{'Tag_0': (90, 294), 'Tag_1': (84, 123), 'Tag_2': (298, 244), 'Tag_3': (298, 246), 'Center_tag': (158, 220)}",5
7,R4G66S1,polygon,OBJ_4,Red,"(0, 0, 255)",2,206,133,"[[ 91 129]
 [232  26]
 [297 245]]","(206, 133)",18787.0,236,37074.24,"{'Tag_0': (91, 129), 'Tag_1': (232, 26), 'Tag_2': (297, 245), 'Center_tag': (206, 133)}",5
8,R4G65S1,polygon,NO_OBJ_1,Red,"(0, 0, 255)",2,301,108,"[[215  32]
 [391  41]
 [301 262]
 [300 259]]",[302 111],19839.0,246,39460.08,"{'Tag_0': (215, 32), 'Tag_1': (391, 41), 'Tag_2': (301, 262), 'Tag_3': (300, 259), 'Center_tag': (302, 111)}",5
9,R4G65S1,polygon,OBJ_1,Red,"(0, 0, 255)",2,393,161,"[[383  61]
 [500 183]
 [301 259]]",[394 167],16585.0,217,32721.91,"{'Tag_0': (383, 61), 'Tag_1': (500, 183), 'Tag_2': (301, 259), 'Center_tag': (394, 167)}",5
10,R4G65S1,polygon,NO_OBJ_2,Red,"(0, 0, 255)",2,429,263,"[[500 182]
 [488 347]
 [300 260]]","(429, 263)",16032.0,214,31637.53,"{'Tag_0': (500, 182), 'Tag_1': (488, 347), 'Tag_2': (300, 260), 'Center_tag': (429, 263)}",5
11,R4G65S1,polygon,NO_OBJ_3,Red,"(0, 0, 255)",2,393,348,"[[486 347]
 [393 442]
 [301 257]
 [302 258]]","(393, 348)",12925.0,206,25506.18,"{'Tag_0': (486, 347), 'Tag_1': (393, 442), 'Tag_2': (301, 257), 'Tag_3': (302, 258), 'Center_tag': (393, 348)}",5
12,R4G65S1,polygon,OBJ_2,Red,"(0, 0, 255)",2,304,385,"[[392 444]
 [219 456]
 [302 260]
 [304 260]]","(304, 385)",16640.0,213,32837.35,"{'Tag_0': (392, 444), 'Tag_1': (219, 456), 'Tag_2': (302, 260), 'Tag_3': (304, 260), 'Center_tag': (304, 385)}",5
13,R4G65S1,polygon,NO_OBJ_4,Red,"(0, 0, 255)",2,207,351,"[[220 455]
 [101 340]
 [302 260]]","(207, 351)",16317.5,216,32200.93,"{'Tag_0': (220, 455), 'Tag_1': (101, 340), 'Tag_2': (302, 260), 'Center_tag': (207, 351)}",5
14,R4G65S1,polygon,OBJ_3,Red,"(0, 0, 255)",2,162,250,"[[ 98 339]
 [ 85 153]
 [304 261]
 [305 260]]","(162, 250)",19601.0,244,38680.59,"{'Tag_0': (98, 339), 'Tag_1': (85, 153), 'Tag_2': (304, 261), 'Tag_3': (305, 260), 'Center_tag': (162, 250)}",5
15,R4G65S1,polygon,OBJ_4,Red,"(0, 0, 255)",2,201,151,"[[ 88 154]
 [218  43]
 [299 259]
 [303 259]]","(201, 151)",18325.5,239,36163.52,"{'Tag_0': (88, 154), 'Tag_1': (218, 43), 'Tag_2': (299, 259), 'Tag_3': (303, 259), 'Center_tag': (201, 151)}",5
16,R4G67S1,polygon,NO_OBJ_1,Red,"(0, 0, 255)",2,313,91,"[[241  23]
 [368  30]
 [309 244]
 [308 241]]",[305  99],13804.0,247,38616.45,"{'Tag_0': (241, 23), 'Tag_1': (368, 30), 'Tag_2': (309, 244), 'Tag_3': (308, 241), 'Center_tag': (305, 99)}",5
17,R4G67S1,polygon,NO_OBJ_2,Red,"(0, 0, 255)",2,386,126,"[[369  34]
 [496 134]
 [309 243]
 [309 240]]",[390 137],16361.5,223,28351.82,"{'Tag_0': (369, 34), 'Tag_1': (496, 134), 'Tag_2': (309, 243), 'Tag_3': (309, 240), 'Center_tag': (390, 137)}",5
18,R4G67S1,polygon,OBJ_1,Red,"(0, 0, 255)",2,425,231,"[[493 136]
 [486 343]
 [309 242]]",[429 240],18673.0,233,40293.84,"{'Tag_0': (493, 136), 'Tag_1': (486, 343), 'Tag_2': (309, 242), 'Center_tag': (429, 240)}",5
19,R4G67S1,polygon,NO_OBJ_3,Red,"(0, 0, 255)",2,390,336,"[[481 340]
 [378 428]
 [313 244]
 [312 241]]","(390, 336)",12540.0,198,24746.42,"{'Tag_0': (481, 340), 'Tag_1': (378, 428), 'Tag_2': (313, 244), 'Tag_3': (312, 241), 'Center_tag': (390, 336)}",5
20,R4G67S1,polygon,NO_OBJ_4,Red,"(0, 0, 255)",2,302,371,"[[381 439]
 [238 441]
 [313 245]
 [313 245]]",[310 375],13939.0,211,29556.58,"{'Tag_0': (381, 439), 'Tag_1': (238, 441), 'Tag_2': (313, 245), 'Tag_3': (313, 245), 'Center_tag': (310, 375)}",5
21,R4G67S1,polygon,OBJ_2,Red,"(0, 0, 255)",2,216,332,"[[233 451]
 [ 89 323]
 [312 246]
 [310 247]]",[210 340],19650.5,221,35648.46,"{'Tag_0': (233, 451), 'Tag_1': (89, 323), 'Tag_2': (312, 246), 'Tag_3': (310, 247), 'Center_tag': (210, 340)}",5
22,R4G67S1,polygon,OBJ_3,Red,"(0, 0, 255)",2,163,227,"[[ 86 323]
 [ 92 116]
 [310 243]
 [311 244]]","(163, 227)",23096.0,253,45577.61,"{'Tag_0': (86, 323), 'Tag_1': (92, 116), 'Tag_2': (310, 243), 'Tag_3': (311, 244), 'Center_tag': (163, 227)}",5
